idx,pw_us,freq_hz,subject,peak_torque_Nm,time_to_peak_s,mean_torque_Nm,torque_rms_Nm,rise_slope_Nm_s
0,50,33,1,0.0,0.0,-1.2512,1.2617,-2.6177
1,50,33,2,0.0,0.0,-8.9533,9.0293,-19.2349
2,50,33,3,0.0,0.0,-0.2251,0.2269,-0.4702
3,50,33,4,0.0,0.0,-0.7815,0.7888,-1.6422
4,50,33,5,0.0,0.0,-0.5218,0.5246,-1.0624
5,50,33,6,0.0,0.0,-1.9753,1.9974,-4.1828
6,50,33,7,0.0,0.0,-0.0828,0.0838,-0.1736
7,50,33,8,0.0,0.0,-0.3583,0.3626,-0.7552
8,50,33,9,0.0146,1.96,0.0141,0.0141,0.0287
9,50,33,10,0.0,0.0,-0.4189,0.4227,-0.8681
10,50,33,average,0.0,0.0,-0.5607,0.5657,-1.168
11,51,33,1,0.0,0.0,-1.2254,1.2357,-2.5634
12,51,33,2,0.0,0.0,-8.6496,8.723,-18.5679
13,51,33,3,0.0,0.0,-0.2164,0.2182,-0.4521
14,51,33,4,0.0,0.0,-0.7699,0.777,-1.6176
15,51,33,5,0.0,0.0,-0.5092,0.5119,-1.0366
16,51,33,6,0.0,0.0,-1.9168,1.9382,-4.0584
17,51,33,7,0.0,0.0,-0.0747,0.0755,-0.1565
18,51,33,8,0.0,0.0,-0.3363,0.3404,-0.7088
19,51,33,9,0.021,1.96,0.0203,0.0204,0.0414
20,51,33,10,0.0,0.0,-0.3978,0.4014,-0.8244
21,51,33,average,0.0,0.0,-0.5435,0.5483,-1.1321
22,52,33,1,0.0,0.0,-1.1998,1.2099,-2.5098
23,52,33,2,0.0,0.0,-8.3536,8.4245,-17.919
24,52,33,3,0.0,0.0,-0.2078,0.2095,-0.4341
25,52,33,4,0.0,0.0,-0.7582,0.7652,-1.5931
26,52,33,5,0.0,0.0,-0.4966,0.4993,-1.0109
27,52,33,6,0.0,0.0,-1.8589,1.8797,-3.9354
28,52,33,7,0.0,0.0,-0.0667,0.0674,-0.1397
29,52,33,8,0.0,0.0,-0.3146,0.3184,-0.663
30,52,33,9,0.0274,1.96,0.0264,0.0266,0.0539
31,52,33,10,0.0,0.0,-0.3769,0.3803,-0.781
32,52,33,average,0.0,0.0,-0.5264,0.5311,-1.0965
33,53,33,1,0.0,0.0,-1.1745,1.1844,-2.4567
34,53,33,2,0.0,0.0,-8.0652,8.1337,-17.2875
35,53,33,3,0.0,0.0,-0.1992,0.2009,-0.4162
36,53,33,4,0.0,0.0,-0.7467,0.7536,-1.5687
37,53,33,5,0.0,0.0,-0.4841,0.4867,-0.9853
38,53,33,6,0.0,0.0,-1.8016,1.8218,-3.8138
39,53,33,7,0.0,0.0,-0.0588,0.0594,-0.1231
40,53,33,8,0.0,0.0,-0.2931,0.2966,-0.6177
41,53,33,9,0.0338,1.96,0.0326,0.0327,0.0664
42,53,33,10,0.0,0.0,-0.3562,0.3594,-0.738
43,53,33,average,0.0,0.0,-0.5095,0.514,-1.0611
44,54,33,1,0.0,0.0,-1.1495,1.1592,-2.4042
45,54,33,2,0.0,0.0,-7.7842,7.8503,-16.6732
46,54,33,3,0.0,0.0,-0.1907,0.1922,-0.3983
47,54,33,4,0.0,0.0,-0.7351,0.7419,-1.5445
48,54,33,5,0.0,0.0,-0.4716,0.4741,-0.9599
49,54,33,6,0.0,0.0,-1.745,1.7645,-3.6935
50,54,33,7,0.0,0.0,-0.051,0.0516,-0.1068
51,54,33,8,0.0,0.0,-0.2718,0.2751,-0.5728
52,54,33,9,0.0401,1.96,0.0386,0.0389,0.0789
53,54,33,10,0.0,0.0,-0.3357,0.3387,-0.6954
54,54,33,average,0.0,0.0,-0.4926,0.497,-1.026
55,55,33,1,0.0,0.0,-1.1248,1.1342,-2.3523
56,55,33,2,0.0,0.0,-7.5103,7.5742,-16.0755
57,55,33,3,0.0,0.0,-0.1821,0.1836,-0.3804
58,55,33,4,0.0,0.0,-0.7237,0.7304,-1.5204
59,55,33,5,0.0,0.0,-0.4592,0.4617,-0.9346
60,55,33,6,0.0,0.0,-1.689,1.7079,-3.5745
61,55,33,7,0.0,0.0,-0.0433,0.0438,-0.0908
62,55,33,8,0.0,0.0,-0.2508,0.2538,-0.5285
63,55,33,9,0.0464,1.96,0.0447,0.0449,0.0912
64,55,33,10,0.0,0.0,-0.3153,0.3181,-0.6531
65,55,33,average,0.0,0.0,-0.4759,0.4801,-0.9911
66,56,33,1,0.0,0.0,-1.1003,1.1095,-2.3009
67,56,33,2,0.0,0.0,-7.2436,7.3052,-15.4941
68,56,33,3,0.0,0.0,-0.1736,0.175,-0.3626
69,56,33,4,0.0,0.0,-0.7123,0.7189,-1.4964
70,56,33,5,0.0,0.0,-0.4469,0.4493,-0.9095
71,56,33,6,0.0,0.0,-1.6335,1.6518,-3.4568
72,56,33,7,0.0,0.0,-0.0358,0.0362,-0.075
73,56,33,8,0.0,0.0,-0.23,0.2328,-0.4847
74,56,33,9,0.0526,1.96,0.0507,0.051,0.1035
75,56,33,10,0.0,0.0,-0.295,0.2977,-0.6112
76,56,33,average,0.0,0.0,-0.4593,0.4634,-0.9565
77,57,33,1,0.0,0.0,-1.0761,1.0851,-2.2502
78,57,33,2,0.0,0.0,-6.9837,7.0431,-14.9284
79,57,33,3,0.0,0.0,-0.1651,0.1664,-0.3448
80,57,33,4,0.0,0.0,-0.701,0.7075,-1.4726
81,57,33,5,0.0,0.0,-0.4346,0.437,-0.8844
82,57,33,6,0.0,0.0,-1.5787,1.5964,-3.3404
83,57,33,7,0.0,0.0,-0.0283,0.0287,-0.0594
84,57,33,8,0.0,0.0,-0.2094,0.212,-0.4413
85,57,33,9,0.0588,1.96,0.0567,0.057,0.1157
86,57,33,10,0.0,0.0,-0.275,0.2775,-0.5696
87,57,33,average,0.0,0.0,-0.4428,0.4467,-0.9221
88,58,33,1,0.0,0.0,-1.0521,1.061,-2.1999
89,58,33,2,0.0,0.0,-6.7306,6.7879,-14.3781
90,58,33,3,0.0,0.0,-0.1566,0.1579,-0.3271
91,58,33,4,0.0,0.0,-0.6897,0.6961,-1.4488
92,58,33,5,0.0,0.0,-0.4224,0.4247,-0.8596
93,58,33,6,0.0,0.0,-1.5245,1.5415,-3.2253
94,58,33,7,0.0,0.0,-0.021,0.0213,-0.0441
95,58,33,8,0.0,0.0,-0.1891,0.1914,-0.3985
96,58,33,9,0.065,1.96,0.0626,0.063,0.1278
97,58,33,10,0.0,0.0,-0.2551,0.2574,-0.5283
98,58,33,average,0.0,0.0,-0.4264,0.4302,-0.888
99,59,33,1,0.0,0.0,-1.0284,1.0371,-2.1503
100,59,33,2,0.0,0.0,-6.484,6.5392,-13.8428
101,59,33,3,0.0,0.0,-0.1482,0.1494,-0.3095
102,59,33,4,0.0,0.0,-0.6785,0.6847,-1.4252
103,59,33,5,0.0,0.0,-0.4103,0.4125,-0.8348
104,59,33,6,0.0,0.0,-1.4708,1.4873,-3.1114
105,59,33,7,0.0,0.0,-0.0138,0.014,-0.029
106,59,33,8,0.0,0.0,-0.169,0.1711,-0.3561
107,59,33,9,0.0711,1.96,0.0685,0.0689,0.1399
108,59,33,10,0.0,0.0,-0.2353,0.2375,-0.4874
109,59,33,average,0.0,0.0,-0.4102,0.4138,-0.8541
110,60,33,1,0.0,0.0,-1.005,1.0135,-2.1011
111,60,33,2,0.0,0.0,-6.2439,6.2971,-13.3221
112,60,33,3,0.0,0.0,-0.1397,0.1409,-0.2918
113,60,33,4,0.0,0.0,-0.6673,0.6735,-1.4017
114,60,33,5,0.0,0.0,-0.3982,0.4004,-0.8102
115,60,33,6,0.0,0.0,-1.4177,1.4336,-2.9988
116,60,33,7,0.0,0.0,-0.0067,0.0068,-0.0141
117,60,33,8,0.0,0.0,-0.1491,0.1509,-0.3142
118,60,33,9,0.0772,1.96,0.0744,0.0748,0.1518
119,60,33,10,0.0,0.0,-0.2158,0.2177,-0.4469
120,60,33,average,0.0,0.0,-0.394,0.3975,-0.8204
121,61,33,1,0.0,0.0,-0.9818,0.9901,-2.0525
122,61,33,2,0.0,0.0,-6.01,6.0612,-12.8156
123,61,33,3,0.0,0.0,-0.1313,0.1324,-0.2743
124,61,33,4,0.0,0.0,-0.6562,0.6623,-1.3783
125,61,33,5,0.0,0.0,-0.3862,0.3883,-0.7857
126,61,33,6,0.0,0.0,-1.3652,1.3805,-2.8875
127,61,33,7,0.0003,1.26,0.0003,0.0003,0.0005
128,61,33,8,0.0,0.0,-0.1295,0.131,-0.2727
129,61,33,9,0.0833,1.96,0.0802,0.0807,0.1637
130,61,33,10,0.0,0.0,-0.1963,0.1981,-0.4066
131,61,33,average,0.0,0.0,-0.378,0.3814,-0.787
132,62,33,1,0.0,0.0,-0.9589,0.967,-2.0045
133,62,33,2,0.0,0.0,-5.7822,5.8315,-12.3228
134,62,33,3,0.0,0.0,-0.1229,0.1239,-0.2568
135,62,33,4,0.0,0.0,-0.6451,0.6511,-1.3551
136,62,33,5,0.0,0.0,-0.3742,0.3763,-0.7613
137,62,33,6,0.0,0.0,-1.3133,1.328,-2.7773
138,62,33,7,0.0076,1.26,0.0071,0.0072,0.0149
139,62,33,8,0.0,0.0,-0.11,0.1113,-0.2318
140,62,33,9,0.0893,1.96,0.086,0.0865,0.1756
141,62,33,10,0.0,0.0,-0.1771,0.1787,-0.3667
